echa	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220922 055832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1357	TRUE	757577	0.0103513610995179	0.999269113361837	3470	724	0.0491917328014037	27666000	86
20220922 055938	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	151	TRUE	757577	0.0562501330207959	0.995722895336637	3330	1012	0.0585895808052043	26624000	87
20220922 060350	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	604	TRUE	757577	0.0101524546822086	0.216613641265602	6771	1000	0.0356457326861611	25456000	88
20220922 060421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	757577	0.299508863801866	0.730486996844928	6223	1019	0.04632693992678	25478000	89
20220922 061728	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1925	TRUE	757577	0.010198843199895	0.415243160432293	2313	614	0.0330047398719084	27372000	90
20220922 062420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1271	TRUE	757577	0.0101485081193869	0.221094724614337	5348	91	0.0549610356128671	26446000	91
20220922 062456	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	757577	0.299794437871271	0.20042473832773	7994	20	0.0545033666720829	25876000	92
20220922 062753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	426	TRUE	757577	0.0170031909837387	0.201693683386653	2921	46	0.0744691693449062	25788000	93
20220922 064141	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2218	TRUE	757577	0.0111197835815975	0.402932751894027	7459	16	0.0614352025453591	26186000	94
20220922 064256	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	120	TRUE	757577	0.120346928295898	0.508479838159934	7522	464	0.0475240094806795	26324000	95
20220922 064333	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	101	TRUE	757577	0.140896535716847	0.999460489458141	7896	1019	0.02711281965472	24982000	96
20220922 064520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	469	TRUE	757577	0.165317045399477	0.994087209490592	4915	338	0.0125282200644531	24588000	97
20220922 065113	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	781	TRUE	757577	0.0100421456533864	0.372901829614169	943	17	0.0418161471684383	27240000	98
20220922 065420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	608	TRUE	757577	0.0108063690606714	0.886113018184474	3363	16	0.0437323341906036	27192000	99
20220922 070132	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1392	TRUE	757577	0.010285371379435	0.902026468682232	2717	388	0.0510370340252717	27364000	100
20220922 070522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	843	TRUE	757577	0.010208790267786	0.945527255573324	7996	1023	0.0682193888532469	25016000	101
20220922 071116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1457	TRUE	757577	0.0101645063888675	0.890533989556975	4262	17	0.0336073917674909	26318000	102
20220922 071434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	460	TRUE	757577	0.0122562954207087	0.202912965204537	2797	19	0.0510005317714547	27154000	103
20220922 071535	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	213	TRUE	757577	0.299216125545712	0.961495718746236	4096	1024	0.0201023565898711	24206000	104
20220922 071659	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	192	TRUE	757577	0.12874120356944	0.297726683311156	2420	32	0.0306841437446659	26216000	105
20220922 071748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	757577	0.124657167715793	0.201295265750263	5836	853	0.0433159628082625	25550000	106
20220922 071834	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	757577	0.291327343337488	0.498860945961045	6679	16	0.0331568902021113	25392000	107
20220922 071903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	757577	0.298910941338974	0.200808407251274	3214	49	0.0684912924794503	23700000	108
20220922 072329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1019	TRUE	757577	0.0107223671908019	0.992219683322476	6360	16	0.0510750860027893	26762000	109
20220922 072728	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	809	TRUE	757577	0.0121724386447087	0.999702740653942	4978	233	0.0525437603262524	27020000	110
20220922 073114	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	552	TRUE	757577	0.0110394952898452	0.940308214401492	3481	204	0.0999839780378367	21948000	111
20220922 073820	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	670	TRUE	757577	0.0102090067641597	0.834521699213577	812	621	0.0439566216603207	28226000	112
20220922 074549	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	705	TRUE	757577	0.010202452118671	0.62959783844117	776	1024	0.0438491294292534	28404000	113
20220922 075146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	752	TRUE	757577	0.0103708648065939	0.689810154560043	1336	310	0.0455058126848958	27612000	114
20220922 075921	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	596	TRUE	757577	0.0101341631643484	0.418477788986719	776	969	0.0437578652594601	27814000	115
20220922 080624	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	612	TRUE	757577	0.0104280665301381	0.789607004250779	725	1015	0.0430407221324411	28320000	116
20220922 081105	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	665	TRUE	757577	0.010092364988386	0.973740449841376	2570	1023	0.0492367930113522	27458000	117
20220922 081525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	361	TRUE	757577	0.0100847115819963	0.210234703271071	770	619	0.0398821409034475	27694000	118
20220922 082151	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	813	TRUE	757577	0.0102206128621133	0.35709923529509	3441	437	0.0488573029654439	27364000	119
20220922 082927	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1145	TRUE	757577	0.0100967572149135	0.268711155353913	1981	631	0.0536487860492881	27108000	120

